id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17959031,BUNK BED WITH FREE PARKING,70889975,Tito,,Liberton East,55.91215,-3.14534,Shared room,200,1,35,2019-05-19,1.32,6,254
17961366,Great double room in city centre flat,33829630,Steven,,Stockbridge,55.95849,-3.20968,Private room,50,1,37,2018-09-25,1.36,1,178
17967893,Spacious City Centre 3 Bed Apartment,22914282,Ron,,Hillside and Calton Hill,55.95892,-3.18342,Entire home/apt,90,2,114,2019-06-14,4.24,2,53
17970916,"Tranquil Botanical Apartment, Sleeps 2",14902678,Scott,,Pilrig,55.96403,-3.17756,Entire home/apt,69,2,63,2019-06-14,2.47,1,40
17974844,"Simpson Loan, Quartermile, 2 Bedroom Apartment",78832151,Donna,,Meadows and Southside,55.94431,-3.19112,Entire home/apt,115,3,29,2019-05-27,1.09,1,12
17974900,Single spacious room in best city centre location,81331280,Maggi,,Dalry and Fountainbridge,55.94305,-3.21373,Private room,26,2,94,2019-04-22,3.49,3,103
17986760,"TRENDY Apt in Stockbridge, central & comfortable!",3008499,Rebecca,,Stockbridge,55.95814,-3.21546,Entire home/apt,94,1,127,2019-05-01,4.85,25,0
17987838,Great flat just outside Edinburgh!,48172670,Andrew,,"Dalmeny, Kirkliston and Newbridge",55.98326,-3.38167,Entire home/apt,80,2,20,2019-06-22,0.75,1,351
17987908,Explore Edinburgh from a Grand Georgian Home,4354376,Lorne,,Stockbridge,55.95715,-3.21373,Entire home/apt,120,2,118,2019-06-23,4.40,1,115
17988217,Bohemian Writers Retreat in Heart of The Old Town,123153085,Naoko,,Tollcross,55.9464,-3.19878,Entire home/apt,66,2,106,2019-06-04,4.16,1,75
17988561,"Cosy single room, 20 min from city centre by bus",33030488,Ross,,Boswall and Pilton,55.97254,-3.22438,Private room,55,2,64,2019-06-25,2.78,1,24
17993309,Jude's place,123639014,George,,Restalrig (Loganlea) and Craigentinny West,55.95699,-3.147,Private room,45,2,60,2019-05-27,2.55,1,200
18000860,"Cozy, lovely room",60714874,Angela,,Meadows and Southside,55.94279,-3.18406,Private room,35,1,64,2018-10-27,2.40,1,27
18004787,Large bedroom with en-suite in period property,101731795,Mike,,"Blackford, West Mains and Mayfield Road",55.92849,-3.17021,Private room,27,1,197,2019-06-21,7.31,8,0
18006548,Large Flat Next to Park- Parking-Cat-Sleeps 5,597415,Daniela,,Leith (Hermitage and Prospect Bank),55.96913,-3.15274,Entire home/apt,75,3,15,2019-01-02,0.58,4,4
